Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
fan	3	3.254	14	1	3911.00	3	1	546.824	34	0.97	0.170634933	0.733333333	56	0.21	0.05		0.72
file	4	3.352	14	1.15	5648.00	3	1	628.088	34	1	0.362550556	0.833333333	63.61111111	0.2	0.08	0.01	0.82
firm	4	3.255	4	1.7	2192.00	3	1	560.714	35	1	0.214517643	1	58.21428571	0.13	0.04		0.61
fit	3	3.468	14	1.05	2977.00	3	1	618.133	30	0.91	0.467421579	1	69.26315789	0.06	0.08	0.02	1.29
flat	4	3.127	11	1.3	6673.00	4	1	571.471	34	1	0.643307889	1	77.22222222	0.11	0.02	0.02	0.62
fleet	5	2.733	2	1.75	6113.00	4	1	674.781	32	0.94	0.661998176	1	79.41176471	0.3	0.02		0.41
flight	6	3.484	5	1.55	4850.00	4	1	586.645	31	1	0.767768692	1	83.46153846	0.36	0.01	0.02	0.39
flush	5	2.68	5	1.7	3817.00	4	1	643.594	32	0.97	0.504104167	0.944444444	59.44444444	0.77	0.06	0.02	0.82
fly	3	3.637	4	1.75	2017.00	3	1	541.697	33	1	0.249827667	0.888888889	58.61111111	0.11	0.11	0.01	1.2
foil	4	1.799	9	1.5	2372.00	3	1	634.25	32	0.94	0.5584562	0.2	70.66666667	0.28	0.02	0.02	0.87
fold	4	2.644	11	1.35	2217.00	4	1	598.313	32	0.97	0.820962353	1	88.23529412	0.23	0.01		0.09
gag	3	2.558	16	1	1398.00	3	1	688.586	29	0.88	0.675374563	0.9375	79.0625	0.2	0.16	0.03	1.43
gin	3	2.76	11	1.25	7473.00	3	1	729.929	28	0.88	0.686760933	0.933333333	75.13333333	0.37	0.07		0.42
glare	5	1.919	6	1.65	9962.00	4	1	602.091	33	0.94	0.550194867	1	73.66666667	0.13	0.25		1
grate	5	1.724	8	1.35	12434.00	4	1	689.688	32	0.94	0.573416286	0.785714286	74.57142857	0.62	0.03	0.01	0.76
grave	5	3.127	9	1.25	6142.00	4	1	632.471	34	0.97	0.467433625	1	56.25	0.27	0.01		0.27
ground	6	3.568	1	1.8	8184.00	5	1	547.156	32	0.97	0.578487	0.923076923	73.69230769	0.12	0.12		0.69
hail	4	2.788	14	1.15	3496.00	3	1	652.688	32	0.97	0.357693706	0.588235294	63.88235294	0.25	0.1		0.83
