word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
soil,100,100,0,0,0,0,0,100,100,0,0,0,0,0,83,83,16,0,0,0,0,77,22,77,0,0,0,0
hitch,76,76,23,0,0,0,0,62,37,62,0,0,0,0,76,76,23,0,0,0,0,63,36,63,0,0,0,0
tense,94,94,5,0,0,0,0,97,97,2,0,0,0,0,88,88,5,0,0,0,0,95,95,2,0,0,0,0
prune,92,92,7,0,0,0,0,97,97,2,0,0,0,0,57,57,28,0,0,0,0,83,83,10,0,0,0,0
stall,57,42,57,0,0,0,0,54,54,45,0,0,0,0,64,64,28,0,0,0,0,71,71,21,0,0,0,0
truck,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
strain,100,100,0,0,0,0,0,100,100,0,0,0,0,0,76,76,7,0,0,0,0,80,80,10,0,0,0,0
ring,76,76,23,0,0,0,0,80,80,20,0,0,0,0,76,76,23,0,0,0,0,80,80,20,0,0,0,0
dock,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,0,0,10,0,0,98,98,0,0,1,0,0
scrub,100,100,0,0,0,0,0,100,100,0,0,0,0,0,89,89,5,0,0,0,0,95,95,1,0,0,0,0
egg,100,100,0,0,0,0,0,100,100,0,0,0,0,0,80,80,5,0,0,0,0,83,83,2,0,0,0,0
buggy,100,100,0,0,0,0,0,100,100,0,0,0,0,0,81,81,9,0,0,0,0,89,89,6,0,0,0,0
launch,94,94,5,0,0,0,0,97,97,2,0,0,0,0,47,41,47,0,0,0,0,78,14,78,0,0,0,0
rash,88,11,88,0,0,0,0,95,4,95,0,0,0,0,72,22,72,0,0,0,0,89,7,89,0,0,0,0
rocket,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
spike,91,91,0,0,0,0,8,80,80,0,0,0,0,19,86,86,8,0,0,0,0,89,89,6,0,0,0,0
glare,93,93,6,0,0,0,0,98,98,1,0,0,0,0,93,93,6,0,0,0,0,98,98,1,0,0,0,0
lean,59,40,59,0,0,0,0,82,17,82,0,0,0,0,54,40,54,0,0,0,0,74,23,74,0,0,0,0
pike,36,18,9,27,9,0,36,31,22,3,19,22,0,31,45,27,45,9,18,0,0,48,48,21,4,26,0,0
yard,73,26,73,0,0,0,0,77,22,77,0,0,0,0,66,33,66,0,0,0,0,66,33,66,0,0,0,0
stove,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
mood,100,100,0,0,0,0,0,100,100,0,0,0,0,0,82,82,17,0,0,0,0,92,92,7,0,0,0,0
hawk,100,100,0,0,0,0,0,100,100,0,0,0,0,0,87,87,12,0,0,0,0,98,98,1,0,0,0,0
tart,82,17,82,0,0,0,0,61,38,61,0,0,0,0,76,17,76,0,0,0,0,58,36,58,0,0,0,0
heel,90,90,0,0,0,0,10,98,98,0,0,0,0,1,90,90,0,0,0,0,0,98,98,0,0,0,0,0
lawn,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,9,0,0,0,0,96,96,3,0,0,0,0
crab,90,90,0,0,0,0,9,91,91,0,0,0,0,8,95,95,4,0,0,0,0,98,98,1,0,0,0,0
gag,70,70,29,0,0,0,0,55,55,44,0,0,0,0,52,52,41,0,0,0,0,51,45,51,0,0,0,0
ground,85,85,14,0,0,0,0,89,89,10,0,0,0,0,64,64,35,0,0,0,0,78,78,21,0,0,0,0
pitch,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
hue,100,100,0,0,0,0,0,100,100,0,0,0,0,0,66,66,0,0,0,0,0,95,95,0,0,0,0,0
frail,100,100,0,0,0,0,0,100,100,0,0,0,0,0,53,40,53,0,0,0,0,62,62,30,0,0,0,0
race,52,52,47,0,0,0,0,57,42,57,0,0,0,0,52,41,52,0,0,0,0,59,38,59,0,0,0,0
cue,76,76,19,0,0,0,4,52,45,52,0,0,0,1,47,42,47,0,0,0,0,73,23,73,0,0,0,0
bud,80,80,0,0,0,0,20,53,53,0,0,0,0,46,100,100,0,0,0,0,0,100,100,0,0,0,0,0
shy,100,100,0,0,0,0,0,100,100,0,0,0,0,0,81,81,0,0,0,0,0,92,92,0,0,0,0,0
stalk,64,32,64,0,0,0,4,57,41,57,0,0,0,1,68,32,68,0,0,0,0,58,41,58,0,0,0,0
angle,100,100,0,0,0,0,0,100,100,0,0,0,0,0,81,81,6,0,0,0,0,89,89,1,0,0,0,0
staple,90,90,9,0,0,0,0,94,94,5,0,0,0,0,72,72,9,0,0,0,0,80,80,5,0,0,0,0
gang,100,100,0,0,0,0,0,100,100,0,0,0,0,0,88,88,11,0,0,0,0,94,94,5,0,0,0,0
arm,83,83,16,0,0,0,0,98,98,1,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
boom,100,100,0,0,0,0,0,100,100,0,0,0,0,0,70,70,29,0,0,0,0,78,78,21,0,0,0,0
rank,91,91,8,0,0,0,0,86,86,13,0,0,0,0,91,91,8,0,0,0,0,86,86,13,0,0,0,0
grave,81,81,13,0,4,0,0,90,90,8,0,1,0,0,72,72,9,9,4,0,0,85,85,7,5,1,0,0
vet,62,62,37,0,0,0,0,91,91,8,0,0,0,0,62,62,37,0,0,0,0,91,91,8,0,0,0,0
slick,92,92,0,0,0,0,7,97,97,0,0,0,0,2,61,61,38,0,0,0,0,80,80,19,0,0,0,0
rye,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
ash,90,90,9,0,0,0,0,98,98,1,0,0,0,0,45,45,45,0,0,0,0,55,42,55,0,0,0,0
tag,61,61,33,0,0,0,4,57,57,40,0,0,0,1,57,57,38,0,0,0,0,48,48,47,0,0,0,0
net,57,42,57,0,0,0,0,75,75,24,0,0,0,0,50,50,50,0,0,0,0,76,76,23,0,0,0,0
toil,100,100,0,0,0,0,0,100,100,0,0,0,0,0,57,57,42,0,0,0,0,71,71,28,0,0,0,0
gin,90,90,0,9,0,0,0,92,92,0,7,0,0,0,90,90,0,9,0,0,0,92,92,0,7,0,0,0
bass,85,85,14,0,0,0,0,58,58,41,0,0,0,0,71,71,21,0,0,0,0,44,44,44,0,0,0,0
rare,81,81,18,0,0,0,0,76,76,23,0,0,0,0,66,66,29,0,0,0,0,66,66,30,0,0,0,0
meter,56,43,0,56,0,0,0,70,29,0,70,0,0,0,43,43,12,43,0,0,0,56,56,3,39,0,0,0
prayer,90,90,10,0,0,0,0,98,98,1,0,0,0,0,90,90,10,0,0,0,0,98,98,1,0,0,0,0
foil,83,8,83,0,0,0,8,94,1,94,0,0,0,3,75,8,75,0,0,0,0,93,1,93,0,0,0,0
chuck,35,30,35,5,0,0,30,54,54,24,3,0,0,18,60,30,60,0,0,0,0,58,58,37,0,0,0,0
dresser,100,0,100,0,0,0,0,100,0,100,0,0,0,0,78,14,78,0,0,0,0,90,8,90,0,0,0,0
mat,100,100,0,0,0,0,0,100,100,0,0,0,0,0,83,83,16,0,0,0,0,54,54,45,0,0,0,0
sage,71,21,71,0,0,0,7,75,22,75,0,0,0,2,50,28,50,0,0,0,0,62,27,62,0,0,0,0
cashier,88,88,0,0,0,0,11,96,96,0,0,0,0,3,55,55,33,0,0,0,0,89,89,7,0,0,0,0
banker,88,88,0,0,0,0,11,97,97,0,0,0,0,2,55,55,11,11,0,0,0,91,91,1,3,0,0,0
shed,53,46,53,0,0,0,0,58,41,58,0,0,0,0,50,50,46,0,0,0,0,50,50,46,0,0,0,0
whale,100,100,0,0,0,0,0,100,100,0,0,0,0,0,82,82,0,0,0,0,0,85,85,0,0,0,0,0
intent,94,94,5,0,0,0,0,98,98,1,0,0,0,0,47,47,41,0,0,0,0,68,68,24,0,0,0,0
duck,93,93,0,0,0,0,6,97,97,0,0,0,0,2,75,75,12,0,0,0,0,92,92,3,0,0,0,0
swallow,88,88,11,0,0,0,0,76,76,23,0,0,0,0,70,70,23,0,0,0,0,60,60,30,0,0,0,0
raft,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,0,0,0,0,0,98,98,0,0,0,0,0
wind,100,100,0,0,0,0,0,100,100,0,0,0,0,0,52,52,47,0,0,0,0,78,78,21,0,0,0,0
boring,100,0,100,0,0,0,0,100,0,100,0,0,0,0,43,43,43,0,0,0,0,55,38,55,0,0,0,0
stick,50,50,50,0,0,0,0,54,54,45,0,0,0,0,66,66,25,0,0,0,0,80,80,15,0,0,0,0
pro,80,20,80,0,0,0,0,61,38,61,0,0,0,0,73,20,73,0,0,0,0,59,33,59,0,0,0,0
content,64,64,35,0,0,0,0,66,33,66,0,0,0,0,57,57,35,0,0,0,0,66,31,66,0,0,0,0
rock,53,53,46,0,0,0,0,56,56,43,0,0,0,0,61,61,38,0,0,0,0,58,58,41,0,0,0,0
intimate,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,10,0,0,0,0,94,94,4,0,0,0,0
squash,60,60,40,0,0,0,0,67,32,67,0,0,0,0,50,30,50,0,0,0,0,70,19,70,0,0,0,0
piano,100,100,0,0,0,0,0,100,100,0,0,0,0,0,50,50,42,0,0,0,0,62,35,62,0,0,0,0
brush,100,100,0,0,0,0,0,100,100,0,0,0,0,0,83,83,0,0,0,0,0,98,98,0,0,0,0,0
wax,100,100,0,0,0,0,0,100,100,0,0,0,0,0,76,76,15,0,0,0,0,62,62,34,0,0,0,0
maroon,71,71,28,0,0,0,0,80,80,19,0,0,0,0,64,64,35,0,0,0,0,78,78,21,0,0,0,0
dam,81,81,18,0,0,0,0,96,96,3,0,0,0,0,63,63,18,0,0,0,0,76,76,20,0,0,0,0
ear,100,100,0,0,0,0,0,100,100,0,0,0,0,0,50,50,50,0,0,0,0,51,48,51,0,0,0,0
chip,100,100,0,0,0,0,0,100,100,0,0,0,0,0,93,93,0,0,0,0,0,97,97,0,0,0,0,0
ban,100,100,0,0,0,0,0,100,100,0,0,0,0,0,52,52,21,0,0,0,0,63,63,15,0,0,0,0
steep,85,85,14,0,0,0,0,94,94,5,0,0,0,0,78,78,14,0,0,0,0,83,83,5,0,0,0,0
bowl,54,54,45,0,0,0,0,70,70,29,0,0,0,0,54,54,45,0,0,0,0,70,70,29,0,0,0,0
haze,100,100,0,0,0,0,0,100,100,0,0,0,0,0,92,92,0,0,0,0,0,97,97,0,0,0,0,0
pine,100,100,0,0,0,0,0,100,100,0,0,0,0,0,85,85,14,0,0,0,0,98,98,1,0,0,0,0
mule,100,100,0,0,0,0,0,100,100,0,0,0,0,0,63,63,36,0,0,0,0,90,90,9,0,0,0,0
match,66,33,66,0,0,0,0,59,59,40,0,0,0,0,61,33,61,0,0,0,0,55,40,55,0,0,0,0
fold,100,100,0,0,0,0,0,100,100,0,0,0,0,0,94,94,0,0,0,0,0,98,98,0,0,0,0,0
list,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
root,100,100,0,0,0,0,0,100,100,0,0,0,0,0,70,70,30,0,0,0,0,89,89,10,0,0,0,0
multiply,100,100,0,0,0,0,0,100,100,0,0,0,0,0,72,72,18,0,0,0,0,90,90,7,0,0,0,0
band,92,92,7,0,0,0,0,97,97,2,0,0,0,0,78,78,14,0,0,0,0,92,92,5,0,0,0,0
mark,83,83,5,0,0,0,11,90,90,1,0,0,0,7,94,94,0,0,0,0,0,98,98,0,0,0,0,0
fleet,64,64,35,0,0,0,0,87,87,12,0,0,0,0,78,78,21,0,0,0,0,95,95,4,0,0,0,0
affect,100,100,0,0,0,0,0,100,100,0,0,0,0,0,93,93,6,0,0,0,0,90,90,9,0,0,0,0
supply,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
brake,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,10,0,0,0,0,98,98,1,0,0,0,0
rip,66,66,0,0,0,0,33,94,94,0,0,0,0,5,66,66,0,22,0,0,0,95,95,0,3,0,0,0
count,87,87,12,0,0,0,0,86,86,13,0,0,0,0,62,62,0,0,0,0,0,81,81,0,0,0,0,0
lap,78,78,14,7,0,0,0,91,91,5,3,0,0,0,42,35,21,42,0,0,0,41,31,41,26,0,0,0
riddle,100,100,0,0,0,0,0,100,100,0,0,0,0,0,90,90,0,0,0,0,0,98,98,0,0,0,0,0
rape,100,100,0,0,0,0,0,100,100,0,0,0,0,0,92,92,3,0,0,0,0,96,96,1,0,0,0,0
gum,66,66,33,0,0,0,0,73,26,73,0,0,0,0,55,55,44,0,0,0,0,74,25,74,0,0,0,0
tender,88,88,11,0,0,0,0,86,86,13,0,0,0,0,88,88,11,0,0,0,0,86,86,13,0,0,0,0
poker,90,10,90,0,0,0,0,98,1,98,0,0,0,0,80,20,80,0,0,0,0,91,8,91,0,0,0,0
