word,human.type.biggest,human.type.p1,human.type.p2,human.type.p3,human.type.p4,human.type.p5,human.type.pUnseen,human.token.biggest,human.token.p1,human.token.p2,human.token.p3,human.token.p4,human.token.p5,human.token.pUnseen,algo.type.biggest,algo.type.p1,algo.type.p2,algo.type.p3,algo.type.p4,algo.type.p5,algo.type.pUnseen,algo.token.biggest,algo.token.p1,algo.token.p2,algo.token.p3,algo.token.p4,algo.token.p5,algo.token.pUnseen
flush,87,87,0,0,12,0,0,96,96,0,0,3,0,0,56,56,6,12,12,0,0,86,86,3,3,3,0,0
cat,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
limp,63,36,63,0,0,0,0,51,48,51,0,0,0,0,59,31,59,0,0,0,0,54,40,54,0,0,0,0
butt,85,85,14,0,0,0,0,88,88,11,0,0,0,0,35,28,14,35,21,0,0,39,11,12,39,36,0,0
league,100,100,0,0,0,0,0,100,100,0,0,0,0,0,84,84,15,0,0,0,0,96,96,3,0,0,0,0
lay,84,84,7,7,0,0,0,85,85,2,11,0,0,0,84,84,0,7,0,0,0,71,71,0,2,0,0,0
spade,61,61,38,0,0,0,0,64,35,64,0,0,0,0,46,46,38,0,0,0,0,64,31,64,0,0,0,0
tear,55,44,55,0,0,0,0,52,52,47,0,0,0,0,66,33,66,0,0,0,0,51,48,51,0,0,0,0
pie,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
shower,100,100,0,0,0,0,0,100,100,0,0,0,0,0,88,88,11,0,0,0,0,97,97,2,0,0,0,0
key,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
chop,100,100,0,0,0,0,0,100,100,0,0,0,0,0,73,73,0,0,0,0,0,86,86,0,0,0,0,0
tap,78,78,21,0,0,0,0,71,71,28,0,0,0,0,73,73,26,0,0,0,0,69,69,30,0,0,0,0
plane,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
pawn,90,90,9,0,0,0,0,98,98,1,0,0,0,0,81,18,81,0,0,0,0,91,8,91,0,0,0,0
grate,82,17,82,0,0,0,0,94,5,94,0,0,0,0,58,41,58,0,0,0,0,85,14,85,0,0,0,0
mare,100,100,0,0,0,0,0,100,100,0,0,0,0,0,60,60,40,0,0,0,0,95,95,4,0,0,0,0
pool,84,84,15,0,0,0,0,90,90,9,0,0,0,0,53,53,38,0,0,0,0,83,83,14,0,0,0,0
cuff,91,91,8,0,0,0,0,98,98,1,0,0,0,0,50,50,50,0,0,0,0,60,60,39,0,0,0,0
pound,50,28,50,21,0,0,0,45,14,45,39,0,0,0,50,28,50,21,0,0,0,45,14,45,39,0,0,0
bark,80,80,20,0,0,0,0,77,77,22,0,0,0,0,80,80,20,0,0,0,0,77,77,22,0,0,0,0
cab,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
drove,63,63,36,0,0,0,0,87,87,12,0,0,0,0,90,9,90,0,0,0,0,90,9,90,0,0,0,0
desert,87,87,12,0,0,0,0,96,96,3,0,0,0,0,87,87,12,0,0,0,0,96,96,3,0,0,0,0
bar,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
hobby,100,100,0,0,0,0,0,100,100,0,0,0,0,0,55,55,41,0,0,0,0,62,62,35,0,0,0,0
shock,100,100,0,0,0,0,0,100,100,0,0,0,0,0,68,68,10,0,0,0,0,74,74,18,0,0,0,0
cap,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
flip,95,95,0,0,0,0,4,97,97,0,0,0,0,2,66,66,9,0,0,0,0,76,76,6,0,0,0,0
vice,46,46,15,0,0,0,30,40,40,16,0,0,0,30,100,100,0,0,0,0,0,100,100,0,0,0,0,0
tar,100,100,0,0,0,0,0,100,100,0,0,0,0,0,93,93,0,0,0,0,0,96,96,0,0,0,0,0
staff,95,95,0,0,0,0,4,98,98,0,0,0,0,1,91,91,8,0,0,0,0,96,96,3,0,0,0,0
rear,100,100,0,0,0,0,0,100,100,0,0,0,0,0,88,88,11,0,0,0,0,96,96,3,0,0,0,0
boil,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0,100,100,0,0,0,0,0
bound,66,66,26,0,6,0,0,85,85,12,0,1,0,0,53,53,13,0,20,0,0,51,51,8,0,15,0,0
husky,91,91,8,0,0,0,0,55,55,44,0,0,0,0,41,41,41,0,0,0,0,61,34,61,0,0,0,0
spit,100,100,0,0,0,0,0,100,100,0,0,0,0,0,47,47,34,0,0,0,0,65,65,24,0,0,0,0
