word,biggest,p1,p2,p3,p4,p5,pUnseen
pink,100,100,0,0,0,0,0
pipe,99,99,1,0,0,0,0
pit,94,94,6,0,0,0,0
pitch,86,86,14,0,0,0,0
pitcher,57,43,57,0,0,0,0
plane,100,100,0,0,0,0,0
plot,82,82,18,0,0,0,0
plump,97,97,2,0,0,0,0
pod,96,96,4,0,0,0,0
poker,89,11,89,0,0,0,0
policy,77,77,23,0,0,0,0
pool,61,61,39,0,0,0,0
poop,92,1,2,5,92,0,0
pop,69,69,4,27,0,0,0
port,50,50,40,1,7,0,2
pose,83,83,17,0,0,0,0
post,41,25,41,26,0,0,8
pot,68,68,32,0,0,0,0
pound,66,22,66,12,0,0,0
pupil,82,82,18,0,0,0,0
mat,100,0,0,0,0,0,0
troll,86,14,86,0,0,0,0
present,71,29,71,0,0,0,0
press,100,100,0,0,0,0,0
prior,100,100,0,0,0,0,0
pro,77,16,77,0,0,0,7
prop,67,24,67,9,0,0,0
prune,83,83,16,0,0,0,0
pry,58,42,58,0,0,0,0
pug,82,82,17,0,0,0,0
pulse,100,100,0,0,0,0,0
pump,97,97,3,0,0,0,0
punch,72,72,4,13,0,0,11
pussy,99,99,1,0,0,0,0
putter,69,30,69,0,0,0,0
quack,56,56,44,0,0,0,0
quail,96,96,3,0,0,0,0
race,78,78,22,0,0,0,0
raft,95,95,5,0,0,0,0
rag,100,100,0,0,0,0,0
rail,98,98,1,1,0,0,0
rake,90,90,8,0,0,0,1
rank,91,91,8,0,0,0,1
rap,52,47,1,52,0,0,0
rape,97,97,3,0,0,0,0
rare,86,86,14,0,0,0,0
rash,64,36,64,0,0,0,0
rate,86,86,0,0,0,0,14
rating,99,99,1,0,0,0,0
raven,100,100,0,0,0,0,0
ray,100,100,0,0,0,0,0
rear,100,100,0,0,0,0,0
reef,97,97,3,0,0,0,0
reel,96,96,4,0,0,0,0
refrain,81,81,18,0,0,0,0
refund,100,100,0,0,0,0,0
refuse,98,98,2,0,0,0,0
rejoin,94,94,5,0,0,0,0
relief,100,100,0,0,0,0,0
rent,100,100,0,0,0,0,0
repair,98,98,2,0,0,0,0
retainer,55,55,45,0,0,0,0
revere,100,100,0,0,0,0,0
rib,99,99,1,0,0,0,0
riddle,99,99,0,0,0,0,1
rifle,98,98,1,0,0,0,1
peck,100,0,0,0,0,0,0
ring,68,68,32,0,0,0,0
rip,100,100,0,0,0,0,0
roach,94,94,2,0,0,0,3
rock,56,56,44,0,0,0,0
rocket,100,100,0,0,0,0,0
rocky,80,80,14,0,0,0,5
rook,58,41,58,0,0,0,0
root,84,84,8,8,0,0,0
rose,83,83,17,0,0,0,0
row,68,68,11,8,0,0,13
rubber,98,98,2,0,0,0,0
rung,67,67,32,0,0,0,0
rush,100,100,0,0,0,0,0
rut,98,98,1,0,0,0,0
rye,100,100,0,0,0,0,0
sack,94,94,1,0,0,0,5
sage,51,51,46,0,0,0,1
sap,98,98,2,0,0,0,0
sash,92,92,6,0,0,0,0
scale,83,2,15,83,0,0,0
scarf,94,94,0,3,0,0,0
scram,92,92,7,0,0,0,0
plight,100,0,0,0,0,0,0
scrap,84,84,16,0,0,0,0
scrub,93,93,7,0,0,0,0
seal,82,82,18,0,0,0,0
settle,100,100,0,0,0,0,0
sewer,99,99,1,0,0,0,0
shag,74,25,74,0,0,0,0
shark,74,74,26,0,0,0,0
shed,50,50,50,0,0,0,0
sheer,100,100,0,0,0,0,0
sheet,100,100,0,0,0,0,0
shin,96,96,3,0,0,0,0
shiver,100,100,0,0,0,0,0
shock,99,99,0,1,0,0,0
shook,100,100,0,0,0,0,0
shore,100,100,0,0,0,0,0
shower,99,99,1,0,0,0,0
shy,100,100,0,0,0,0,0
sin,100,100,0,0,0,0,0
size,100,100,0,0,0,0,0
skate,99,99,1,0,0,0,0
skipper,96,96,4,0,0,0,0
slack,97,97,3,0,0,0,0
slam,100,100,0,0,0,0,0
