word	dominance	signTest	biggest	Twilleyp1	Twilleyp2	Twilleyp3	U
dove	0.420413625	0.75	66.5625	0.31	0.09	0.02	0.86
pat	0.841738	1	90	0.09	0.02	0.01	0.86
bark	0.35291	0.933333333	63	0.61	0.26		0.85
stud	0.515253765	0.235294118	70	0.16	0.04	0.03	0.84
hail	0.357693706	0.588235294	63.88235294	0.25	0.1		0.83
file	0.362550556	0.833333333	63.61111111	0.2	0.08	0.01	0.82
flush	0.504104167	0.944444444	59.44444444	0.77	0.06	0.02	0.82
reel	0.777058882	0.882352941	82.11764706	0.3	0.05	0.01	0.82
crab	0.515377063	0.9375	70.625	0.15	0.03	0.05	0.81
swallow	0.700039	1	80	0.09	0.21		0.81
quack	0.566277375	0.6875	75.0625	0.69	0.14		0.8
sack	0.595559167	1	72.22222222	0.26	0.05	0.02	0.8
peer	0.465811923	0.923076923	69.23076923	0.31	0.12		0.78
stern	0.517031412	1	70.17647059	0.15	0.1		0.77
vault	0.600051053	0.526315789	73.42105263	0.38	0.07		0.77
bent	0.915715882	1	92.94117647	0.18	0.05		0.76
grate	0.573416286	0.785714286	74.57142857	0.62	0.03	0.01	0.76
pot	0.332199714	0.714285714	62.14285714	0.17	0.06		0.76
refrain	0.410437667	1	66.66666667	0.37	0.07		0.75
refuse	0.662396188	1	78.75	0.24	0.14		0.75
pit	0.612861267	0.733333333	75	0.15	0.06		0.73
fan	0.170634933	0.733333333	56	0.21	0.05		0.72
wound	0.614949722	0.888888889	76	0.29	0.07		0.71
ground	0.578487	0.923076923	73.69230769	0.12	0.12		0.69
log	0.587499059	0.941176471	74.05882353	0.16	0.04	0.01	0.69
cuff	0.759348063	0.9375	85.625	0.24	0.1		0.69
stick	0.201768188	1	57.8125	0.14	0.01	0.03	0.68
bluff	0.757417938	0.0625	84.1875	0.16	0.03	0.02	0.67
tend	0.311327533	0.933333333	61.33333333	0.1	0.02		0.67
root	0.389223053	0.526315789	57.15789474	0.31	0.02	0.02	0.65
spell	0.337768556	0.888888889	53.16666667	0.11	0.08		0.65
boom	0.717446235	1	81.52941176	0.16	0.05	0.01	0.63
host	0.703240188	1	74.625	0.21	0.04	0.02	0.63
flat	0.643307889	1	77.22222222	0.11	0.02	0.02	0.62
firm	0.214517643	1	58.21428571	0.13	0.04		0.61
rubber	0.956178067	1	96.33333333	0.24	0.15		0.61
scrap	0.366522313	0.9375	65.3125	0.22	0.13		0.61
net	0.57086725	0.8125	73.4375	0.33	0.04		0.6
page	0.792494688	0.9375	85.875	0.17	0.03		0.6
stole	0.9104155	0.9375	93.4375	0.09	0.07		0.6
sage	0.4975494	0.533333333	70.66666667	0.3	0.04		0.58
strand	0.3584656	0.666666667	64.66666667	0.58	0.04		0.58
rank	0.595720316	1	74.84210526	0.13	0.05		0.57
strip	0.301549316	0.947368421	60.52631579	0.13	0.03		0.55
mint	0.521693118	0.764705882	69.88235294	0.25	0.05		0.54
staple	0.5897165	0.9375	75	0.25	0.07		0.53
calf	0.361765214	0.428571429	63.92857143	0.65	0.08		0.53
staff	0.856516313	1	88.75	0.1	0.03		0.52
hop	0.781257944	1	83.44444444	0.26	0.05	0.01	0.5
hamper	0.5656272	0.133333333	72.6	0.56	0.03		0.49
rap	0.747123	0.0625	80.3125	0.49	0.03		0.47
sap	0.675841467	1	79.13333333	0.68	0.02	0.01	0.46
novel	0.610680467	1	76.13333333	0.66	0.06		0.45
tender	0.338217235	0.882352941	53.94117647	0.13	0.06		0.45
toast	0.313303444	0.888888889	61.11111111	0.33	0.03		0.45
drove	0.759683444	1	83.16666667	0.41	0.01	0.02	0.44
poker	0.549681882	0.294117647	73.52941176	0.23	0.04		0.44
cap	0.668362786	1	79.57142857	0.45	0.02	0.01	0.43
gin	0.686760933	0.933333333	75.13333333	0.37	0.07		0.42
jet	0.837869615	0.923076923	88.15384615	0.45	0.04		0.42
wind	0.461327533	0.933333333	69	0.17	0.02		0.42
fleet	0.661998176	1	79.41176471	0.3	0.02		0.41
jam	0.283333267	0.6	60.33333333	0.2	0.01	0.01	0.4
bar	0.921047286	0.928571429	93.85714286	0.29	0.03		0.39
flight	0.767768692	1	83.46153846	0.36	0.01	0.02	0.39
hide	0.603767938	1	73.125	0.51	0.01		0.39
plane	0.770883647	0.882352941	83.47058824	0.27	0.02		0.39
box	0.430491533	0.933333333	63	0.12	0.01	0.01	0.38
angle	0.693326235	1	78.70588235	0.19	0.03	0.01	0.37
incense	0.758170063	0.875	84.25	0.32	0.02		0.36
duck	0.296027118	0.764705882	58.82352941	0.15	0.01		0.35
heel	0.838520588	0.941176471	88.47058824	0.25	0.04		0.35
key	0.812494278	1	85.55555556	0.3	0.01	0.01	0.35
rash	0.363122944	0.555555556	62.5	0.26	0.02		0.35
pile	0.757669	0.941176471	78.64705882	0.13	0.02	0.01	0.34
lime	0.7686455	0.071428571	82.21428571	0.41	0.03		0.33
loaf	0.472652938	0.9375	69.0625	0.82	0.03		0.32
arm	0.534452813	1	70.6875	0.46	0.03		0.31
rose	0.312111278	0.944444444	62.5	0.3	0.01	0.01	0.31
tire	0.310253875	0.5625	61.5625	0.25	0.01		0.31
desert	0.272392357	1	59.28571429	0.17	0.02		0.3
boil	0.65514125	1	76.5625	0.45	0.01		0.29
grave	0.467433625	1	56.25	0.27	0.01		0.27
sash	0.780357357	0.928571429	84.42857143	0.18	0.03		0.27
nag	0.884699867	1	91.53333333	0.16	0.04		0.26
race	0.122548941	0.882352941	54.11764706	0.24	0.02		0.26
rear	0.505162188	1	70	0.32	0.02	0.01	0.26
toll	0.687079632	0.105263158	79.73684211	0.27	0.03	0.01	0.26
pen	0.652280333	1	78.13333333	0.43	0.02		0.24
rib	0.9055556	1	92.33333333	0.13	0.01	0.01	0.23
shower	0.8921132	1	91.06666667	0.14	0.01	0.01	0.23
stir	0.943689647	1	95.05882353	0.2	0.02		0.23
sock	0.555422214	0.928571429	72.5	0.34	0.01		0.22
ham	0.760599375	1	84.375	0.11	0.01		0.21
prune	0.443560267	0.933333333	68	0.2	0.02		0.21
scrub	0.470072765	0.882352941	68.82352941	0.21	0.02	0.01	0.19
brush	0.509176813	1	70.625	0.42	0.02		0.18
lock	0.655845765	1	76.76470588	0.33	0	0	0.13
jar	0.696866563	1	80.375	0.4	0.01		0.12
pet	0.900898056	1	92.77777778	0.53	0.01		0.12
corn	0.832103765	1	88.64705882	0.35	0.01		0.09
entrance	0.726483	1	82.94117647	0.62	0.01		0.09
junk	0.961493263	1	96.68421053	0.19	0.01		0.09
meal	0.7383435	1	82.94444444	0.26	0.01		0.09
fold	0.820962353	1	88.23529412	0.23	0.01		0.09
bear	0.540758353	0.352941176	72.11764706	0.08	0.01		0.05
intimate	0.782362333	1	85.83333333	0.21	0.01		0.05
nap	0.9349016	1	94.6	0.67	0.01		0.05
steep	0.838724375	1	88.4375	0.45	0.01		0.05
wax	0.705070733	0.933333333	80.26666667	0.17	0.01		0.05
bank	0.676402471	0.058823529	77.64705882	0.54			0
ear	0.736826125	1	81.0625	0.16			0
low	0.945419	1	95	0.61			0
pump	0.710876	1	81.875	0.25			0
rake	0.7717622	1	84.15	0.5			0
rent	0.887482526	1	90	0.15			0
spray	0.949074083	1	95.83333333	0.17			0
