Word	Length	LgSUBTLWF	Ortho_N	OLD	BG_Sum	NPhon	NSyll	RT	Obs	ACC	dominance	signTest	biggest
bus	3	3.578	8	1.15	1986.00	3	1	566.647	34	0.97	0.676278067	1	77.86666667
bush	4	2.858	10	1.3	3281.00	3	1	599.471	34	1	0.824787316	1	87
bust	4	3.148	14	1.1	5551.00	4	1	600.485	33	0.97	0.506733	0.352941176	69.41176471
butt	4	3.294	5	1.6	2132.00	3	1	658.97	33	1	0.524337385	0.923076923	65
cab	3	3.262	15	1.1	2809.00	3	1	644.273	33	0.97	0.959822125	1	96.5625
caddy	5	2.164	3	1.85	3210.00	4	2	758.433	30	0.91	0.5301588	0.4	71.33333333
calf	4	2.182	3	1.85	4968.00	3	1	636.323	31	0.91	0.361765214	0.428571429	63.92857143
camp	4	3.417	8	1.2	3626.00	4	1	652.909	33	1	0.865850684	0.894736842	90.10526316
cap	3	2.981	18	1	2676.00	3	1	597.094	32	0.97	0.668362786	1	79.57142857
cape	4	2.624	14	1.1	4339.00	3	1	634.968	31	0.91	0.546789438	1	72.1875
capital	7	2.812	1	2.55	10615.00	6	3	625.281	32	0.97	0.858015118	1	90.88235294
card	4	3.639	12	1.15	5396.00	4	1	605.091	33	0.97	0.891800588	1	91.47058824
cashier	7	2.225	0	2.5	13051.00	5	2	643.606	33	1	0.972251	1	97.52941176
cat	3	3.529	18	1	5984.00	3	1	520.613	31	0.94	0.874752882	1	91.64705882
chap	4	2.512	7	1.45	3535.00	3	1	757.545	33	0.94	0.610151833	0.833333333	75.5
chase	5	3.224	5	1.45	6145.00	3	1	660.333	33	1	0.86416425	1	85.875
chess	5	2.581	1	1.9	9326.00	3	1	676.633	30	0.88	0.971836	1	96.22222222
chip	4	3.022	8	1.35	3129.00	3	1	579.382	34	1	0.5720508	0.933333333	74.86666667
chop	4	2.842	7	1.45	3462.00	3	1	639.794	34	1	0.8202382	1	82
chord	5	1.973	2	1.8	6093.00	4	1	749.759	29	0.83	0.627369813	0.3125	77.5
chow	4	2.545	4	1.7	3397.00	2	1	674.971	34	1	0.724801938	0.875	82.75
chuck	5	3.04	6	1.7	3193.00	3	1	731.71	31	0.91	0.621991857	0.928571429	70.64285714
chum	4	2.196	1	1.85	2437.00	3	1	652.227	22	0.65	0.729710125	0.5625	81.5
chump	5	2.322	5	1.65	3315.00	4	1	713.588	34	1	0.739924588	0.882352941	84.11764706
chute	5	2.267	0	1.95	7144.00	3	1	811.462	26	0.79	0.4755868	0.4	58.33333333
clip	4	2.464	6	1.6	3853.00	4	1	613.229	35	1	0.340936125	0.5625	61.5625
clock	5	3.476	8	1.45	3639.00	4	1	583.844	32	0.97	0.956398294	1	96.17647059
clutch	6	2.107	1	1.95	3858.00	4	1	628.839	31	0.97	0.793073813	0.875	85.625
cock	4	2.764	13	1.15	4064.00	3	1	628.647	34	1	0.607165188	0.75	72.6875
cocktail	8	2.745	0	3.35	8304.00	6	2	614.206	34	1	0.938759375	1	95.1875
coil	4	1.919	8	1.5	4255.00	3	1	709.061	33	0.97	0.860367125	1	90.625
cola	4	2.452	6	1.7	5790.00	4	2	635.031	32	0.94	0.949234643	0.142857143	93.57142857
colon	5	2.114	1	1.9	9846.00	5	2	692.533	30	0.86	0.294297733	0.8	61
coma	4	2.797	6	1.6	5370.00	4	2	648.8	30	0.88	0.940615	1	95.30769231
commune	7	1.833	1	1.95	8559.00	6	2	828.077	26	0.79	0.544216813	0.3125	73.25
compact	7	1.94	0	2.45	8269.00	7	2	614.853	34	1	0.783118125	1	83.4375
compound	8	2.559	0	2.7	10936.00	7	2	668.353	34	1	0.431180944	0.944444444	65.83333333
console	7	2.061	0	2.35	14431.00	6	2	724.788	33	0.97	0.543417471	0.764705882	70.88235294
content	7	2.591	5	1.7	21326.00	7	2	656.765	34	1	0.3891258	0.8	65.66666667
converse	8	1.826	1	2.15	18873.00	6	2	740.394	33	1	0.561355625	0.9375	72.375
cop	3	3.643	17	1	3224.00	3	1	585.303	33	1	0.831081067	0.066666667	87
cope	4	2.223	17	1	4887.00	3	1	568.688	32	0.94	0.8672464	1	91.6
corn	4	2.861	11	1.2	5700.00	4	1	555.424	33	0.97	0.832103765	1	88.64705882
corporal	8	2.905	0	3	15498.00	8	3	779.71	31	0.91	0.801142438	0.0625	87
corrupt	7	2.435	0	2.75	7237.00	6	2	704.5	32	0.94	1	1	100
corruption	10	2.34	0	2.85	19128.00	7	3	748.529	34	1	1	1	100
cortex	6	1.763	1	1.95	11229.00	7	2	703.129	31	0.94	1	1	100
cosmetic	8	1.969	0	3	14008.00	8	3	727.706	34	1	1	1	100
cosmic	6	2.267	0	2.45	7508.00	6	2	626.176	34	1	0.946428625	1	96.25
cosmos	6	2.188	0	2.65	5653.00	6	2	768.514	35	1	0.928819438	0.875	95
cost	4	3.448	9	1.4	6883.00	4	1	568.97	33	0.97	1	1	100
costly	6	1.903	2	1.95	8847.00	6	2	631.656	32	0.97	1	1	100
costume	7	2.859	0	2.55	9993.00	6	2	711.563	32	0.97	1	1	100
cot	3	2.013	19	1	3378.00	3	1	620.893	28	0.85	0.828255214	1	88.21428571
cottage	7	2.433	0	2.25	7922.00	5	2	645.371	35	1	0.892156824	0.941176471	92.94117647
cotton	6	2.86	0	2	10022.00	4	2	559.147	34	1	0.999223	1	99.92307692
couch	5	3.079	6	1.6	6109.00	3	1	696	34	1	1	1	100
cough	5	2.652	6	1.7	4940.00	3	1	627.176	34	1	1	1	100
council	7	2.937	0	2.85	9820.00	5	2	721.909	33	0.97	1	1	100
counsel	7	2.862	0	2.6	11625.00	5	2	610.032	31	0.94	0.985294118	1	98.82352941
count	5	3.662	2	1.8	9022.00	4	1	588.714	35	1	0.839976118	1	87
counter	7	2.851	1	1.9	19579.00	5	2	588.265	34	1	0.465625063	0.625	60.3125
cow	3	3.115	18	1	3159.00	2	1	580.719	32	0.94	0.953360929	1	96
crab	4	2.548	7	1.55	4912.00	4	1	619.313	32	0.94	0.515377063	0.9375	70.625
cramp	5	2.158	4	1.55	5729.00	5	1	607.375	32	1	0.4032185	1	66.42857143
crash	5	3.165	5	1.65	6653.00	4	1	639.121	33	1	0.946761941	0.941176471	95.82352941
cricket	7	2.161	0	1.95	9156.00	6	2	667.794	34	0.97	0.442616067	0.933333333	67.66666667
crow	4	2.358	6	1.45	3625.00	3	1	577.879	33	1	0.638281941	0.058823529	77.82352941
cube	4	2.185	5	1.55	1892.00	4	1	589.824	34	1	0.942136429	1	95.57142857
cue	3	2.6	8	1.35	1060.00	3	1	641.065	31	0.94	0.447682333	0.733333333	67.06666667
cuff	4	2.465	4	1.7	1185.00	3	1	694.828	29	0.85	0.759348063	0.9375	85.625
dab	3	1.763	12	1.3	1540.00	3	1	794.5	24	0.71	0.937211867	0.933333333	95.06666667
dam	3	2.468	13	1	1479.00	3	1	704.667	30	0.91	0.838907063	0.9375	89.375
darn	4	2.851	9	1.5	3972.00	4	1	651.517	29	0.85	0.831120412	0	87.29411765
dent	4	2.258	14	1.25	9435.00	4	1	744.323	31	0.91	0.936716786	1	94.64285714
desert	6	3.155	0	1.9	16286.00	5	2	608.647	34	1	0.272392357	1	59.28571429
deuce	5	2.167	0	1.95	4826.00	3	1	701.563	32	0.89	0.816188133	0.933333333	88.93333333
diet	4	2.895	4	1.7	4484.00	4	1	664.559	34	1	0.884007333	1	91.55555556
dock	4	2.697	11	1.35	2179.00	3	1	700.303	33	1	0.733761059	0.941176471	78
dotty	5	1.763	2	1.9	2867.00	4	2	754.125	24	0.69	0.625752643	0.142857143	76.42857143
dove	4	2.455	13	1.15	3030.00	3	1	631.657	35	1	0.420413625	0.75	66.5625
dresser	7	2.263	3	2.2	19191.00	5	2	720.273	33	1	0.698905071	0.071428571	79.64285714
drill	5	2.846	2	1.8	6319.00	4	1	626.273	33	0.97	0.838820684	1	84.68421053
drone	5	2.161	3	1.75	9420.00	4	1	909.852	27	0.82	0.607811	0.25	75.5
drove	5	3.168	5	1.6	4981.00	4	1	753.647	34	0.97	0.759683444	1	83.16666667
duck	4	3.102	11	1.35	1745.00	3	1	546.182	33	1	0.296027118	0.764705882	58.82352941
dug	3	2.659	14	1.15	676.00	3	1	686	31	0.91	0.961816611	1	96.66666667
ear	3	3.213	11	1	4780.00	2	1	550.1	30	0.88	0.736826125	1	81.0625
earnest	7	1.909	0	2.05	15582.00	5	2	722.485	33	0.97	0.829728769	1	88.76923077
egg	3	3.124	1	1.9	673.00	2	1	565.314	35	1	0.7915865	1	85.07142857
elder	5	2.556	2	1.8	10826.00	4	2	710.121	33	1	0.883794	1	91.5
entrance	8	2.904	0	2.6	18145.00	7	2	640.2	30	0.97	0.726483	1	82.94117647
exploit	7	2.1	0	2.6	5555.00	7	2	664.848	33	0.97	0.661998176	0.176470588	78.52941176
fair	4	3.684	5	1.45	2156.00	3	1	552.968	31	1	0.509374533	0.933333333	69.8
fan	3	3.254	14	1	3911.00	3	1	546.824	34	0.97	0.170634933	0.733333333	56
fell	4	3.571	13	1.3	3922.00	3	1	595.943	35	1	0.767878412	1	82.35294118
felon	5	2.111	1	1.85	8380.00	5	2	754.321	28	0.85	0.955783067	1	96.2
file	4	3.352	14	1.15	5648.00	3	1	628.088	34	1	0.362550556	0.833333333	63.61111111
firm	4	3.255	4	1.7	2192.00	3	1	560.714	35	1	0.214517643	1	58.21428571
fit	3	3.468	14	1.05	2977.00	3	1	618.133	30	0.91	0.467421579	1	69.26315789
flag	4	2.951	9	1.45	3276.00	4	1	533.697	33	0.97	0.836394941	1	82.70588235
flat	4	3.127	11	1.3	6673.00	4	1	571.471	34	1	0.643307889	1	77.22222222
flatter	7	2.303	4	1.65	17902.00	5	2	649.633	30	0.97	0.75811925	0.75	84.375
flaw	4	2.193	11	1.35	2718.00	3	1	635.059	34	1	0.933047412	0.941176471	95.17647059
fleet	5	2.733	2	1.75	6113.00	4	1	674.781	32	0.94	0.661998176	1	79.41176471
flight	6	3.484	5	1.55	4850.00	4	1	586.645	31	1	0.767768692	1	83.46153846
flip	4	2.863	6	1.6	3747.00	4	1	597.939	33	1	0.759774474	0.842105263	81.05263158
flock	5	2.377	5	1.65	3533.00	4	1	669.935	31	0.91	0.864348429	1	90.42857143
fluke	5	1.954	3	1.75	1976.00	4	1	684.75	32	0.94	0.808199714	0	82
flush	5	2.68	5	1.7	3817.00	4	1	643.594	32	0.97	0.504104167	0.944444444	59.44444444
fly	3	3.637	4	1.75	2017.00	3	1	541.697	33	1	0.249827667	0.888888889	58.61111111
foil	4	1.799	9	1.5	2372.00	3	1	634.25	32	0.94	0.5584562	0.2	70.66666667
fold	4	2.644	11	1.35	2217.00	4	1	598.313	32	0.97	0.820962353	1	88.23529412
fore	4	2.134	16	1	7886.00	3	1	856.462	26	0.81	0.571136846	0.307692308	73.07692308
forge	5	2.223	4	1.6	4861.00	4	1	743.156	32	0.94	0.538186611	0.833333333	71.27777778
former	6	2.97	3	1.85	11830.00	5	2	610.594	32	0.97	0.899368929	0.928571429	91.85714286
founder	7	2.037	2	1.75	14646.00	5	2	677.281	32	0.94	0.797098667	1	84.05555556
frail	5	1.914	3	1.75	5839.00	4	1	666.844	32	0.94	0.902568375	1	92.25
freak	5	3.273	3	1.75	7066.00	4	1	594.406	32	1	0.965006263	1	96.89473684
fret	4	1.982	3	1.85	6274.00	4	1	696.64	25	0.74	0.641122813	0.8125	74.5625
frog	4	2.781	2	1.8	3027.00	4	1	607.625	32	0.97	0.980705667	1	98.2
fry	3	2.633	6	1.6	1012.00	3	1	654.125	32	0.97	0.840224071	1	87.5
fudge	5	2.27	3	1.85	2115.00	3	1	722.857	35	1	0.529993714	1	73.21428571
funk	4	2.21	9	1.4	2551.00	4	1	711.258	31	0.94	0.496586316	0.631578947	69.73684211
funky	5	2.415	1	1.9	2644.00	5	2	618.677	31	0.91	0.587515294	0.235294118	74.29411765
gag	3	2.558	16	1	1398.00	3	1	688.586	29	0.88	0.675374563	0.9375	79.0625
gage	4	2.111	13	1.15	2609.00	3	1	765.719	32	0.97	0.793528875	0.125	86.125
gang	4	3.187	8	1.5	8016.00	3	1	629.455	33	0.94	0.936490125	1	94.9375
gill	4	1.945	15	1.15	3627.00	3	1	801.962	26	0.76	0.9725	1	97.70588235
gin	3	2.76	11	1.25	7473.00	3	1	729.929	28	0.88	0.686760933	0.933333333	75.13333333
glare	5	1.919	6	1.65	9962.00	4	1	602.091	33	0.94	0.550194867	1	73.66666667
gloss	5	1.875	4	1.7	4321.00	4	1	637.5	30	0.91	0.658996063	0.9375	79.25
gob	3	2.755	11	1.35	720.00	3	1	676.778	9	0.28	0.887196154	0.846153846	92.23076923
gobble	6	2.083	4	1.65	5491.00	4	2	758.621	29	0.88	0.577170278	0.444444444	72.77777778
gore	4	1.748	12	1.3	7657.00	3	1	722.548	31	0.94	0.672258824	0.823529412	76.76470588
gram	4	2.124	9	1.45	4803.00	4	1	657.594	32	0.91	0.796168143	0.928571429	86.92857143
grate	5	1.724	8	1.35	12434.00	4	1	689.688	32	0.94	0.573416286	0.785714286	74.57142857
grave	5	3.127	9	1.25	6142.00	4	1	632.471	34	0.97	0.467433625	1	56.25
ground	6	3.568	1	1.8	8184.00	5	1	547.156	32	0.97	0.578487	0.923076923	73.69230769
gull	4	1.756	13	1.3	3029.00	3	1	696.833	30	0.88	0.747384625	0.875	83.125
gum	3	2.835	11	1.3	1007.00	3	1	626.065	31	0.91	0.404940632	0.736842105	65.21052632
hack	4	2.641	15	1.15	3551.00	3	1	671.484	31	0.89	0.475815813	0.75	69.1875
hail	4	2.788	14	1.15	3496.00	3	1	652.688	32	0.97	0.357693706	0.588235294	63.88235294
halt	4	2.76	9	1.4	4580.00	4	1	601.594	32	0.94	0.715414333	0.933333333	81
ham	3	2.772	18	1	2090.00	3	1	632.424	33	0.97	0.760599375	1	84.375
hamper	6	1.863	6	1.65	10793.00	5	2	720.25	32	1	0.5656272	0.133333333	72.6
hatch	5	2.816	8	1.5	7082.00	3	1	611.719	32	0.97	0.548868278	1	69.11111111
hawk	4	2.814	4	1.7	1384.00	3	1	577.235	34	0.97	0.730010529	0.882352941	75.05882353
haze	4	1.892	11	1.35	1753.00	3	1	569	32	0.97	0.389418	0.8	64.66666667
heel	4	2.578	7	1.5	4353.00	3	1	582.9	30	0.97	0.838520588	0.941176471	88.47058824
hide	4	3.551	10	1.35	4533.00	3	1	555.969	32	0.97	0.603767938	1	73.125
hiding	6	3.344	5	1.7	14623.00	5	2	660.767	30	0.88	0.9703832	1	97.46666667
hind	4	2.1	8	1.45	9743.00	4	1	669.208	24	0.8	0.930404267	1	94.6
hip	3	2.896	14	1.05	1612.00	3	1	560.788	33	1	0.657429765	0.941176471	72.64705882
hitch	5	2.32	7	1.6	5019.00	3	1	684.167	30	0.88	0.514264235	0.705882353	68.52941176
hobby	5	2.55	4	1.8	1800.00	4	2	574.382	34	0.97	0.980061933	1	98.13333333
hooker	6	2.777	6	1.7	9409.00	4	2	597.706	34	1	0.8529485	0	87
hop	3	2.99	12	1.15	1945.00	3	1	607.606	33	0.97	0.781257944	1	83.44444444
host	4	2.885	7	1.45	5604.00	4	1	570.576	33	1	0.703240188	1	74.625
hue	3	1.857	11	1.25	693.00	3	1	740.185	27	0.82	0.829135929	1	88.85714286
hull	4	2.335	15	1.25	2942.00	3	1	708.7	30	0.94	0.7157016	0.333333333	80.66666667
husky	5	1.914	3	1.8	2077.00	5	2	729.935	31	0.97	0.3460472	0.866666667	63.33333333
imperial	8	2.104	0	2.85	16662.00	8	3	650.774	31	0.97	0.853162938	0.9375	89.0625
impress	7	2.717	1	2.45	13725.00	6	2	692.909	33	0.97	0.926375824	1	94.29411765
incense	7	1.969	1	2.5	17643.00	6	2	762.667	30	0.88	0.758170063	0.875	84.25
intent	6	2.458	3	1.85	21157.00	6	2	718.129	31	0.97	0.394189722	0.833333333	66.66666667
intimate	8	2.551	0	2.3	25847.00	7	3	722.233	30	0.91	0.782362333	1	85.83333333
invalid	7	1.949	0	2.75	14266.00	7	3	686.219	32	0.94	0.621356125	0.125	76.5625
jade	4	2.415	7	1.6	3774.00	3	1	657.531	32	0.94	0.501198308	0.692307692	70
jag	3	1.954	18	1.1	906.00	3	1	683.667	30	0.91	0.795814077	0.923076923	85.53846154
jam	3	2.84	14	1.2	1067.00	3	1	580.788	33	0.94	0.283333267	0.6	60.33333333
jar	3	2.628	14	1.2	3087.00	3	1	570.394	33	1	0.696866563	1	80.375
jerk	4	3.228	1	1.85	6579.00	3	1	590	32	0.94	0.773636529	0.823529412	81.94117647
jerky	5	2.068	3	1.8	6672.00	4	2	583.206	34	1	0.236763308	0.538461538	58.07692308
jet	3	2.859	13	1.25	1501.00	3	1	548.97	33	0.97	0.837869615	0.923076923	88.15384615
jig	3	1.945	12	1.4	862.00	3	1	726.786	28	0.82	0.661647706	0.235294118	78.88235294
jog	3	2.093	13	1.25	650.00	3	1	614.471	34	0.97	0.914376588	1	93.11764706
jumper	6	2.072	2	1.9	9513.00	5	2	663.971	34	1	0.7118352	0.666666667	81.66666667
junk	4	2.895	9	1.5	2322.00	4	1	647.469	32	0.97	0.961493263	1	96.68421053
keen	4	2.36	5	1.7	5584.00	3	1	764.636	33	0.97	0.877532375	1	90.3125
key	3	3.647	3	1.8	1134.00	2	1	543.515	33	0.97	0.812494278	1	85.55555556
kitty	5	3.135	2	1.9	3977.00	4	2	590.839	31	0.97	0.821150056	1	86.94444444
knot	4	2.277	4	1.7	1809.00	3	1	603.813	32	0.94	0.975595895	1	97.73684211
lap	3	2.838	18	1	2892.00	3	1	625.824	34	1	0.472882429	0.857142857	63.21428571
lash	4	1.935	13	1.1	4766.00	3	1	702.727	33	0.94	0.693284167	0.944444444	82.5
launch	6	3.008	2	1.85	7258.00	4	1	630.529	34	1	0.680844294	1	80.88235294
lawn	4	2.8	6	1.6	2410.00	3	1	612.125	32	0.97	0.960136632	1	96.63157895
lay	3	3.473	17	1	2442.00	2	1	568.156	32	0.94	0.530732647	0.411764706	67.35294118
lead	4	3.628	12	1.2	6282.00	3	1	585.129	31	0.94	0.407529833	1	65.33333333
league	6	2.978	0	2.35	6795.00	3	1	661.485	33	0.97	0.766494143	1	83.5
lean	4	2.724	11	1.25	8714.00	3	1	556.938	32	0.94	0.4265056	0.733333333	65.33333333
lighten	7	2.48	3	1.8	12588.00	4	2	687.75	32	0.91	0.122799063	0.875	54.375
lighter	7	2.661	4	1.7	14934.00	4	2	638.303	33	1	0.8351852	0.866666667	90.66666667
limb	4	2.378	4	1.65	4064.00	3	1	612.758	33	0.97	0.775472294	0.941176471	85.17647059
limbo	5	2.086	1	1.95	4828.00	5	2	677.323	31	0.91	0.673615929	0.571428571	79.14285714
lime	4	2.228	13	1.2	5375.00	3	1	595.794	34	1	0.7686455	0.071428571	82.21428571
limp	4	2.274	7	1.45	4512.00	4	1	613.387	31	0.94	0.330817857	0.857142857	62.14285714
liner	5	1.799	10	1.3	18080.00	4	2	656	32	0.91	0.350732615	0.615384615	63.46153846
lining	6	2.366	4	1.75	21975.00	5	2	772.387	31	0.94	0.636770941	0.882352941	76.23529412
list	4	3.614	12	1.3	9072.00	4	1	528.758	33	0.97	0.952086118	0.941176471	96.17647059
lit	3	2.696	14	1	4925.00	3	1	595.667	30	0.88	0.2	0.933333333	60
liver	5	2.863	10	1.25	11684.00	4	2	558.091	33	1	0.76955275	1	81.125
loaf	4	2.36	4	1.75	2121.00	3	1	585.552	29	0.91	0.472652938	0.9375	69.0625
lock	4	3.46	15	1.05	3060.00	3	1	583.419	31	0.91	0.655845765	1	76.76470588
log	3	2.786	14	1.05	1975.00	3	1	593.364	33	1	0.587499059	0.941176471	74.05882353
low	3	3.48	16	1	2155.00	2	1	560.455	33	1	0.945419	1	95
lug	3	2.124	10	1.3	898.00	3	1	761	24	0.71	0.646164083	0.833333333	78.33333333
lumber	6	2.104	4	1.65	8661.00	5	2	643.324	34	1	0.687399286	0.857142857	78.21428571
lying	5	3.651	3	1.75	12502.00	4	2	594.188	32	0.97	0.493556158	1	71.68421053
mace	4	2.253	13	1.3	4776.00	3	1	671.194	31	0.91	0.850724786	1	91
mail	4	3.274	16	1.1	4031.00	3	1	615.824	34	1	0.745081294	1	83.17647059
mare	4	2.173	24	1	9187.00	3	1	662.185	27	0.79	0.980769231	1	98.46153846
mark	4	3.622	13	1.2	4915.00	4	1	672.303	33	0.97	0.917428889	1	93
maroon	6	1.792	0	2	12320.00	5	2	863.25	28	0.88	0.674779071	0.928571429	79.07142857
mast	4	1.924	17	1.05	6697.00	4	1	596.483	29	0.85	0.947373	1	95.61538462
mat	3	2.253	18	1	5861.00	3	1	620.133	30	0.91	0.538203438	0.8125	70
match	5	3.402	8	1.55	7617.00	3	1	561.156	32	1	0.358907188	0.3125	63.5625
mate	4	3.174	22	1	10256.00	3	1	628.219	32	0.97	0.612683706	1	75.58823529
meal	4	3.168	12	1.15	6620.00	3	1	562.886	35	1	0.7383435	1	82.94444444
meter	5	2.502	3	1.75	13652.00	4	2	571.353	34	1	0.360849733	0.933333333	52.26666667
midst	5	2.246	0	1.85	6198.00	5	1	680.533	30	0.86	0.325680286	0.642857143	63.57142857
mill	4	2.688	17	1.05	4421.00	3	1	646.121	33	0.97	0.927808571	0.928571429	94.42857143
mint	4	2.444	12	1.4	11285.00	4	1	607.667	33	1	0.521693118	0.764705882	69.88235294
mite	4	1.785	14	1.15	7944.00	3	1	835.7	30	0.86	0.570741941	0.764705882	75
mode	4	2.422	10	1.35	4100.00	3	1	603.576	33	0.97	0.806547625	0.9375	88.125
mood	4	3.24	9	1.35	2425.00	3	1	605.967	30	0.88	0.712842813	1	79.1875
