,word,eDom,algorithm.FAN,human.FAN,algorithm.SUBTL,wikipedia
315,stir,95,98,100,92,100
316,stove,90,100,100,65,95
317,strain,81,80,100,76,72
318,strand,65,71,76,54,62
319,strip,61,75,84,95,99
320,stripe,84,91,96,91,100
321,stud,70,68,89,53,84
322,supply,91,100,100,97,100
323,swallow,80,60,76,89,59
324,tag,65,48,57,51,55
325,tap,62,69,71,59,63
326,tar,98,96,100,94,100
327,tart,66,58,61,51,70
328,tear,61,51,52,88,96
329,temple,66,85,87,77,99
330,tend,61,70,53,95,99
331,tender,54,86,86,61,47
332,tense,67,95,97,77,77
333,test,96,89,100,90,100
334,tick,70,36,52,69,63
335,tip,47,40,59,58,90
336,tire,62,92,96,64,64
337,toast,61,98,100,87,75
338,toaster,87,72,100,87,60
339,toil,70,71,100,74,98
340,toll,80,73,100,80,99
341,tow,91,100,100,94,99
342,tower,95,78,100,71,99
343,trace,94,94,100,92,100
344,trap,90,96,100,83,89
345,truck,89,100,100,95,100
346,tuna,98,97,100,85,98
347,van,94,100,100,69,82
348,vault,73,52,81,79,53
349,verse,80,96,100,61,97
350,vet,61,91,91,69,55
351,vice,85,100,40,98,100
352,wax,80,62,100,70,63
353,weed,97,92,100,94,100
354,whale,76,85,100,82,100
355,wind,69,78,100,59,84
356,wise,86,98,100,89,98
357,wit,94,96,100,66,97
358,wound,76,94,95,87,95
359,wrinkle,96,52,100,51,57
360,yard,58,66,77,96,98
